NAME,HUMIDITY,LIGHT,NO_MAX,NO_MIN,NO2_MAX,NO2_MIN,OZONE_MAX,OZONE_MIN,PM10_MAX,PM10_MIN,PM2_MAX,PM2_MIN,SO2_MAX,SO2_MIN,CO_MAX,CO_MIN,CO2_MAX,CO2_MIN,SOUND,TEMPRATURE_MAX,TEMPRATURE_MIN,UV_MAX,UV_MIN,AIR_PRESSURE,LASTUPDATEDATETIME,Lattitude,Longitude
BopadiSquare_65,19.995,3762.914,0,0,59,54,15,0,22,19,18,16,5,4,154,115,448,401,66.133,41,24,5.3,0.2,0.933,13/05/19 12:16,18.5594267,73.8286556
Karve Statue Square_5,20.73,529.245,0,0,82,77,18,0,23,19,19,16,4,3,124,69,441,374,63.568,39,25,0.8,0.1,0.93,13/05/19 12:16,18.5017272,73.8135954
Lullanagar_Square_14,17.387,693.375,0,0,74,63,25,0,25,21,20,18,3,3,103,55,33,0,59.362,40,24,0.5,0.2,0.926,13/05/19 12:16,18.4873065,73.8856497
Hadapsar_Gadital_01,18.725,723.631,0,0,110,105,5,0,26,21,21,18,6,5,128,95,482,427,72.178,38,26,1.3,0.1,0.93,13/05/19 12:16,18.5018335,73.9414776
PMPML_Bus_Depot_Deccan_15,20.622,816.476,0,0,93,85,9,0,20,15,17,13,5,4,112,52,77,26,74.756,40,25,,,0.932,13/05/19 12:16,18.4517156,73.8561703
Goodluck Square_Cafe_23,19.896,253.463,0,0,82,78,6,0,26,23,21,19,4,3,111,47,307,291,58.582,40,26,2.6,0.1,0.932,13/05/19 12:16,18.5343565,73.8260579
Karve Statue Square_5,25.154,377.207,0,0,82,77,18,0,23,19,19,16,4,3,124,69,445,374,65.501,39,25,0.8,0.1,0.93,13/05/19 12:31,18.5017272,73.8135954
Goodluck Square_Cafe_23,25.047,203.806,0,0,82,77,6,0,26,23,21,19,4,3,111,47,303,291,60.607,40,26,2.6,0.1,0.932,13/05/19 12:31,18.5343565,73.8260579
BopadiSquare_65,23.487,2901.535,0,0,59,54,15,0,21,19,18,16,5,4,154,115,448,401,67.149,41,24,5.3,0.2,0.933,13/05/19 12:31,18.5594267,73.8286556
Lullanagar_Square_14,21.912,525.003,0,0,73,63,25,0,25,21,20,18,3,3,103,55,33,0,62.241,40,24,0.5,0.2,0.926,13/05/19 12:31,18.4873065,73.8856497
PMPML_Bus_Depot_Deccan_15,25.406,629.468,0,0,93,85,9,0,20,15,17,13,5,4,112,52,69,26,78.467,40,25,,,0.932,13/05/19 12:31,18.4517156,73.8561703
Chitale Bandhu Corner_41,21.773,16499.57,0,0,59,24,18,0,25,5,21,5,6,0,123,47,439,354,74.061,42,25,4.3,0.1,0.93,13/05/19 12:31,18.51557,73.8243931
Hadapsar_Gadital_01,22.223,623.102,0,0,110,105,5,0,26,21,21,18,6,5,128,95,482,427,73.081,38,26,1.3,0.1,0.93,13/05/19 12:31,18.5018335,73.9414776
Pune Railway Station_28,23.952,2189.636,0,0,94,87,12,0,25,22,21,19,3,2,95,50,96,54,83.731,41,25,4.5,0.1,0.932,13/05/19 12:31,18.5250661,73.7929274 
PMPML_Bus_Depot_Deccan_15,25.406,448.069,0,0,93,85,9,0,20,15,17,13,5,4,112,52,69,26,78.467,40,25,,,0.932,13/05/19 12:46,18.4517156,73.8561703
Hadapsar_Gadital_01,22.223,475.241,0,0,110,105,5,0,26,21,21,18,6,5,128,95,482,427,73.081,38,26,1.3,0.1,0.93,13/05/19 12:46,18.5018335,73.9414776
Lullanagar_Square_14,21.912,411.59,0,0,73,63,25,0,25,21,20,18,3,3,103,55,33,0,62.241,40,24,0.5,0.2,0.926,13/05/19 12:46,18.4873065,73.8856497
Karve Statue Square_5,25.154,213.97,0,0,82,77,18,0,23,19,19,16,4,3,124,69,445,374,65.501,39,25,0.8,0.1,0.93,13/05/19 12:46,18.5017272,73.8135954
Goodluck Square_Cafe_23,25.047,161.429,0,0,82,77,6,0,26,23,21,19,4,3,111,47,303,291,60.607,40,26,2.6,0.1,0.932,13/05/19 12:46,18.5343565,73.8260579
BopadiSquare_65,23.487,2173.043,0,0,59,54,15,0,21,19,18,16,5,4,154,115,448,401,67.149,41,24,5.3,0.2,0.933,13/05/19 12:46,18.5594267,73.8286556
Rajashri_Shahu_Bus_stand_19,25.494,1873.378,0,0,74,62,16,0,29,23,24,20,2,1,75,40,50,19,68.601,38,24,3.6,0.2,0.928,13/05/19 12:46,18.4822385,73.8580916
Pune Railway Station_28,23.952,1654.572,0,0,94,87,12,0,25,22,21,19,3,2,95,50,96,54,83.731,41,25,4.5,0.1,0.932,13/05/19 12:46,18.5250661,73.7929274
Chitale Bandhu Corner_41,22.626,3368.774,0,0,59,24,18,0,25,5,21,5,6,0,123,47,439,354,74.142,42,25,4.3,0.1,0.93,13/05/19 12:46,18.51557,73.8243931
Goodluck Square_Cafe_23,,,0,0,,,,,,,,,,,,,,,,,,,,,8/4/2019 0:01,18.5343565,73.8260579
BopadiSquare_65,44.355,1.184,0,0,68,66,45,0,36,34,28,26,7,6,118,101,29,29,73.612,40,23,0,0,0.935,8/4/2019 0:01,18.5594267,73.8286556
Karve Statue Square_5,39.376,5.888,0,0,102,96,32,0,39,32,30,24,6,5,126,76,29,29,64.998,39,26,0,0,0.932,8/4/2019 0:01,18.5017272,73.8135954
Pune Railway Station_28,43.532,8.096,0,0,100,96,25,0,39,37,30,29,5,4,94,54,29,29,75.734,40,26,0,0,0.934,8/4/2019 0:01,18.5250661,73.7929274
Lullanagar_Square_14,34.772,0.782,0,0,100,93,33,0,40,38,30,29,4,4,106,57,29,29,62.539,39,26,0,0,0.928,8/4/2019 0:01,18.4873065,73.8856497
Rajashri_Shahu_Bus_stand_19,45.835,3.105,0,0,73,70,42,0,37,33,28,26,6,5,69,37,29,29,77.562,38,24,0,0,0.93,8/4/2019 0:01,18.4822385,73.8580916
Chitale Bandhu Corner_41,43.944,55.683,0,0,66,61,27,0,39,36,30,28,4,3,134,57,29,29,62.419,40,26,0,0,0.932,8/4/2019 0:01,18.51557,73.8243931
Hadapsar_Gadital_01,36.874,0.824,0,0,125,118,19,0,40,37,30,28,8,7,131,96,29,29,83.41,38,27,0,0,0.932,8/4/2019 0:01,18.5018335,73.9414776
PMPML_Bus_Depot_Deccan_15,49.852,18.034,0,0,106,102,25,0,37,34,28,26,7,6,126,71,29,29,74.007,40,25,0,0,0.934,8/4/2019 0:01,18.4517156,73.8561703
Goodluck Square_Cafe_23,,,0,0,,,,,,,,,,,,,,,,,,,,,8/4/2019 0:16,18.5343565,73.8260579
Pune Railway Station_28,43.532,8.892,0,0,100,96,25,0,39,37,30,29,5,4,94,54,29,29,75.734,40,26,0,0,0.934,8/4/2019 0:16,18.5250661,73.7929274
Chitale Bandhu Corner_41,43.944,55.583,0,0,66,61,27,0,39,36,30,28,4,3,134,57,29,29,62.419,40,26,0,0,0.932,8/4/2019 0:16,18.51557,73.8243931
BopadiSquare_65,44.355,1.162,0,0,68,66,45,0,36,34,28,26,7,6,118,101,29,29,73.612,40,23,0,0,0.935,8/4/2019 0:16,18.5594267,73.8286556
Rajashri_Shahu_Bus_stand_19,45.835,3.004,0,0,73,70,42,0,37,33,28,26,6,5,69,37,29,29,77.562,38,24,0,0,0.93,8/4/2019 0:16,18.4822385,73.8580916
PMPML_Bus_Depot_Deccan_15,49.852,18.098,0,0,106,102,25,0,37,34,28,26,7,6,126,71,29,29,74.007,40,25,0,0,0.934,8/4/2019 0:16,18.4517156,73.8561703
Lullanagar_Square_14,34.772,0.634,0,0,100,93,33,0,40,38,30,29,4,4,106,57,29,29,62.539,39,26,0,0,0.928,8/4/2019 0:16,18.4873065,73.8856497
Hadapsar_Gadital_01,36.874,0.835,0,0,125,118,19,0,40,37,30,28,8,7,131,96,29,29,83.41,38,27,0,0,0.932,8/4/2019 0:16,18.5018335,73.9414776
Karve Statue Square_5,39.376,5.914,0,0,102,96,32,0,39,32,30,24,6,5,126,76,29,29,64.998,39,26,0,0,0.932,8/4/2019 0:16,18.5017272,73.8135954
Goodluck Square_Cafe_23,,,0,0,,,,,,,,,,,,,,,,,,,,,8/4/2019 0:31,18.5343565,73.8260579
BopadiSquare_65,50.376,1.896,0,0,68,66,45,0,36,34,28,26,7,6,118,101,29,29,71.186,40,23,0,0,0.935,8/4/2019 0:31,18.5594267,73.8286556
Chitale Bandhu Corner_41,42.193,55.512,0,0,66,61,27,0,39,36,30,28,4,3,134,57,29,29,63.896,40,26,0,0,0.932,8/4/2019 0:31,18.51557,73.8243931
Hadapsar_Gadital_01,36.07,0.926,0,0,126,118,19,0,40,38,30,29,8,7,131,96,29,29,83.8,38,27,0,0,0.932,8/4/2019 0:31,18.5018335,73.9414776
Karve Statue Square_5,44.826,5.96,0,0,102,97,32,0,39,33,30,24,6,5,126,76,29,29,64.664,39,26,0,0,0.932,8/4/2019 0:31,18.5017272,73.8135954
Rajashri_Shahu_Bus_stand_19,42.432,3.012,0,0,73,71,42,0,37,34,28,26,6,5,69,37,29,29,75.792,38,24,0,0,0.93,8/4/2019 0:31,18.4822385,73.8580916
Lullanagar_Square_14,34.859,0.824,0,0,100,93,33,0,40,38,30,29,4,4,106,57,29,29,62.131,39,26,0,0,0.928,8/4/2019 0:31,18.4873065,73.8856497
Pune Railway Station_28,40.057,8.246,0,0,100,96,25,0,39,37,30,29,5,4,94,54,29,29,79.35,40,26,0,0,0.935,8/4/2019 0:31,18.5250661,73.7929274
PMPML_Bus_Depot_Deccan_15,47.67,18.069,0,0,106,102,25,0,37,35,28,27,7,6,126,71,29,29,73.385,40,25,0,0,0.935,8/4/2019 0:31,18.4517156,73.8561703
Goodluck Square_Cafe_23,,,0,0,,,,,,,,,,,,,,,,,,,,,8/4/2019 0:46,18.5343565,73.8260579
Karve Statue Square_5,44.826,6.566,0,0,102,97,32,0,39,33,30,24,6,5,126,76,29,29,64.664,39,26,0,0,0.932,8/4/2019 0:46,18.5017272,73.8135954
Chitale Bandhu Corner_41,42.193,46.471,0,0,66,61,27,0,39,36,30,28,4,3,134,57,29,29,63.896,40,26,0,0,0.932,8/4/2019 0:46,18.51557,73.8243931
Pune Railway Station_28,40.057,10.794,0,0,100,96,25,0,39,37,30,29,5,4,94,54,29,29,79.35,40,26,0,0,0.935,8/4/2019 0:46,18.5250661,73.7929274
Hadapsar_Gadital_01,36.07,6.8,0,0,126,118,19,0,40,38,30,29,8,7,131,96,29,29,83.8,38,27,0,0,0.932,8/4/2019 0:46,18.5018335,73.9414776
BopadiSquare_65,50.376,22.775,0,0,68,66,45,0,36,34,28,26,7,6,118,101,29,29,71.186,40,23,0,0,0.935,8/4/2019 0:46,18.5594267,73.8286556
Lullanagar_Square_14,34.859,12.947,0,0,100,93,33,0,40,38,30,29,4,4,106,57,29,29,62.131,39,26,0,0,0.928,8/4/2019 0:46,18.4873065,73.8856497
Rajashri_Shahu_Bus_stand_19,42.432,5.544,0,0,73,71,42,0,37,34,28,26,6,5,69,37,29,29,75.792,38,24,0,0,0.93,8/4/2019 0:46,18.4822385,73.8580916
PMPML_Bus_Depot_Deccan_15,47.67,21.691,0,0,106,102,25,0,37,35,28,27,7,6,126,71,29,29,73.385,40,25,0,0,0.935,8/4/2019 0:46,18.4517156,73.8561703
Goodluck Square_Cafe_23,,,0,0,,,,,,,,,,,,,,,,,,,,,8/4/2019 1:01,18.5343565,73.8260579
Karve Statue Square_5,44.826,26.3,0,0,102,97,32,0,39,33,30,24,6,5,126,76,29,29,64.664,39,26,0,0,0.932,8/4/2019 1:02,18.5017272,73.8135954
Chitale Bandhu Corner_41,42.193,122.531,0,0,66,61,27,0,39,36,30,28,4,3,134,57,29,29,63.896,40,26,0,0,0.932,8/4/2019 1:02,18.51557,73.8243931
